ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
2000000385	2000000385	0	0
2000000386	2000000386	0	0
2000000387	2000000387	0	0
2000000388	2000000388	0	0
2000000389	2000000389	0	0
2000000390	2000000390	0	0
2000000391	2000000391	0	0
2000000392	2000000392	0	0
2000000393	2000000393	0	0
2000000394	2000000394	0	0
2000000395	2000000395	0	0
2000000396	2000000396	0	0
2000000397	2000000397	0	0
2000000398	2000000398	0	0
2000000399	2000000399	0	0
2000000400	2000000400	0	0
2000000401	2000000401	0	0
2000000402	2000000402	0	0
2000000403	2000000403	0	0
2000000404	2000000404	0	0
2000000405	2000000405	0	0
2000000406	2000000406	0	0
2000000407	2000000407	0	0
2000000408	2000000408	0	0
2000000409	2000000409	0	0
2000000410	2000000410	0	0
2000000411	2000000411	0	0
2000000412	2000000412	0	0
2000000413	2000000413	0	0
2000000414	2000000414	0	0
2000000415	2000000415	0	0
2000000416	2000000416	0	0
2000000417	2000000417	0	0
2000000418	2000000418	0	0
2000000419	2000000419	0	0
2000000420	2000000420	0	0
2000000421	2000000421	0	0
2000000422	2000000422	0	0
2000000423	2000000423	0	0
2000000424	2000000424	0	0
2000000425	2000000425	0	0
2000000426	2000000426	0	0
2000000427	2000000427	0	0
2000000428	2000000428	0	0
2000000429	2000000429	0	0
2000000430	2000000430	0	0
2000000431	2000000431	0	0
2000000432	2000000432	0	0
2000000433	2000000433	0	0
2000000434	2000000434	0	0
2000000435	2000000435	0	0
2000000436	2000000436	0	0
2000000437	2000000437	0	0
2000000438	2000000438	0	0
2000000439	2000000439	0	0
2000000440	2000000440	0	0
2000000441	2000000441	0	0
2000000442	2000000442	0	0
2000000443	2000000443	0	0
2000000444	2000000444	0	0
2000000445	2000000445	0	0
2000000446	2000000446	0	0
2000000447	2000000447	0	0
2000000448	2000000448	0	0
2000000449	2000000449	0	0
2000000450	2000000450	0	0
2000000451	2000000451	0	0
2000000452	2000000452	0	0
2000000453	2000000453	0	0
2000000454	2000000454	0	0
2000000455	2000000455	0	0
2000000456	2000000456	0	0
2000000457	2000000457	0	0
2000000458	2000000458	0	0
2000000459	2000000459	0	0
2000000460	2000000460	0	0
2000000461	2000000461	0	0
2000000462	2000000462	0	0
2000000463	2000000463	0	0
2000000464	2000000464	0	0
2000000465	2000000465	0	0
2000000466	2000000466	0	0
2000000467	2000000467	0	0
2000000468	2000000468	0	0
2000000469	2000000469	0	0
2000000470	2000000470	0	0
2000000471	2000000471	0	0
2000000472	2000000472	0	0
2000000473	2000000473	0	0
2000000474	2000000474	0	0
2000000475	2000000475	0	0
2000000476	2000000476	0	0
2000000477	2000000477	0	0
2000000478	2000000478	0	0
2000000479	2000000479	0	0
2000000480	2000000480	0	0
2000000481	2000000481	0	0
2000000482	2000000482	0	0
2000000483	2000000483	0	0
2000000484	2000000484	0	0
